Column,id,title,publication,date
82462,124184,Republicans stressing out over ‘TrumpCare’,New York Post,2017-01-27T00:00:00Z
82529,124307,Senate Republicans block attempt to overturn Trump’s immigration ban,New York Post,2017-01-30T00:00:00Z
83190,125166,Al Franken: ‘A few’ Republicans worried about Trump’s mental health,New York Post,2017-02-12T00:00:00Z
83523,125603,The #Resistance is pushing Republicans to back Trump,New York Post,2017-02-17T00:00:00Z
84027,126310,Democrat calls himself a Republican in response to Trump speech,New York Post,2017-03-01T00:00:00Z
84794,127303,Why Trump may dump House Republicans,New York Post,2017-03-16T00:00:00Z
84896,127424,Key Republicans come around on ObamaCare replacement,New York Post,2017-03-17T00:00:00Z
85137,127739,Republicans dealt embarrassing setback in health care overhaul,New York Post,2017-03-23T00:00:00Z
85195,127802,House Republicans pull health care bill,New York Post,2017-03-24T00:00:00Z
85224,127831,"Now Republicans must move on Trump’s ‘jobs, jobs, jobs’ agenda",New York Post,2017-03-24T00:00:00Z
85405,128091,How Republicans can regroup on health care,New York Post,2017-03-28T00:00:00Z
85634,128378,Trump ready to ditch Republicans on health care reform,New York Post,2017-04-02T00:00:00Z
85640,128384,Democrats and Republicans split over Gorsuch nomination forecast,New York Post,2017-04-02T00:00:00Z
87066,130227,How Republicans built their own ObamaCare trap,New York Post,2017-05-01T00:00:00Z
87383,130601,Paul Ryan says Republicans are on health care ‘rescue mission’,New York Post,2017-05-07T00:00:00Z
87648,130976,Historically black university cancels Republican senator’s speech,New York Post,2017-05-13T00:00:00Z
88741,132401,Republicans question Trump’s latest push for a travel ban,New York Post,2017-06-04T00:00:00Z
89683,134154,Republican committee trolls Nancy Pelosi with endorsement,New York Post,2016-11-17T00:00:00Z
90074,134855,Seems like Arizona Republicans can’t wait to vote for Trump,New York Post,2016-03-18T00:00:00Z
91258,136139,George Will leaves Republican Party because of Trump,New York Post,2016-06-26T00:00:00Z
91450,136358,Welcome to the Republican civil war,New York Post,2016-10-10T00:00:00Z
91773,136714,Ted Cruz defends his diss as Republicans vow revenge,New York Post,2016-07-21T00:00:00Z
92341,137354,‘Never Trump’ Republicans are plotting against democracy itself,New York Post,2016-06-28T00:00:00Z
92706,137791,How the Republican Party earned a hostile takeover,New York Post,2016-03-02T00:00:00Z
92854,137961,Super PACs backing Republican Cruz buy $2.4 million in ads,New York Post,2016-02-27T00:00:00Z
94878,140465,Paul Ryan invites Trump to meet with Republican leaders,New York Post,2016-05-07T00:00:00Z
95153,140819,Republicans reveal plan for ObamaCare ‘transition period’,New York Post,2016-11-29T00:00:00Z
95521,141298,Prominent Republican family split on presidential race,New York Post,2016-11-02T00:00:00Z
95869,141749,Republicans want another FBI probe on Hillary,New York Post,2016-07-07T00:00:00Z
96117,142086,Democratic ‘tracker’ fired for ‘stalking’ Republican candidate,New York Post,2016-06-17T00:00:00Z
96457,142551,Clinton woos former Republican secretaries of state,New York Post,2016-08-08T00:00:00Z
96700,142894,Kasich: I’m the only Republican who can win the election,New York Post,2016-03-20T00:00:00Z
96781,143009,The battle for the Republican soul,New York Post,2016-01-22T00:00:00Z
97279,143702,Trump is a party of one after he declares war on Republicans,New York Post,2016-10-11T00:00:00Z
97479,143986,Republicans are practically handing Hillary the presidency,New York Post,2016-03-16T00:00:00Z
97683,144262,"Trump: If GOP drops me, ‘I’ll stop funding the Republican Party’",New York Post,2016-08-12T00:00:00Z
98147,144945,The joy of voting in the Democratic primary as a conservative Republican,New York Post,2016-04-09T00:00:00Z
98440,145356,"Republican rogues’ low-down, dumb reply to Trump’s call for unity",New York Post,2016-03-02T00:00:00Z
98495,145449,Why is ‘the Republican Obama’ an insult?,New York Post,2016-02-05T00:00:00Z
98574,145550,New York Republicans actually take a stand,New York Post,2016-03-09T00:00:00Z
